事業所名,事業種別,事業内容,事業所所在地,電話番号,PR,adress,lon,lat
（株）田名スポーツ,小売業,"スポーツ用品・学校体育用品販売
(学校指定体育着等取扱）",田名4324番地,042-762-5833,"サンキューキャンペーンのご利用で、
新入学生の体育用品の準備はいかがですか？？
もちろん在校生の買い替えも、この機会に是非ご利用
ください♪",神奈川県相模原市中央区田名4324番地,139.3396064,35.5525005
田名薬局,小売業,一般用医薬品販売、雑貨販売、化粧品販売他。,田名5444-23,042-761-3865,NA,神奈川県相模原市中央区田名5444-23,139.3376614,35.545755
トラットリアフォルツァ　田名店,小売業,パンの移動販売,田名7196-2 スターハイツ101,026-387-7680,"長野で手作りしている、移動販売のぱんです。ぜひこ
の機会に食べてみてください。",神奈川県相模原市中央区田名7196-2 スターハイツ101,139.3543492,35.5496451
ナカジマフォート,サービス業,"七五三・成人式・ウエディングなど記念写真を中心に
撮影しているフォトスタジオです。",田名2801-8,042-762-1965,"七五三・成人式・ウエディングなどの衣装が揃っている
フォトスタジオです。
LINE登録で写真データ1カットプレゼントしています。",神奈川県相模原市中央区田名2801-8,139.3399067,35.570585
株式会社にこにこでんき,その他,"オール電化や太陽光を中心とした、電気・水道リ
フォーム会社です。 
 一般家庭でのLEDへの交換やタッチレス水栓への交
換も手掛けています。",田名3143-6,042-783-5775,"初回出張費無料です。 
 電気や水道のことで、どこに聞いたらいいかわからな
いんだけど・・・という相談を承っております。",神奈川県相模原市中央区田名3143-6,139.3340053,35.5601964
（有）橋本自動車整備工場,サービス業,自動車販売、車検整備、一般整備、保険取扱,田名4818,042-762-1916,NA,神奈川県相模原市中央区田名4818,139.334763,35.5504907
（有）はなくに,小売業,"切り花や鉢花（胡蝶蘭と観葉植物）、ドライフラワー（ス
ワッグ・リース・BOX等）を販売しています。",田名4700-1,042-761-3605,NA,神奈川県相模原市中央区田名4700-1,139.3342251,35.5517501
林自動車販売・スズキ販売田名,"小売業/サービス
業","自動車の販売、車検点検整備、修理、オイル交換な
ど。",田名4102-1,042-762-3148,NA,神奈川県相模原市中央区田名4102-1,139.3447181,35.5544755
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
びゅうてぃつくし,サービス業,頭皮ケアが得意な美容室です,田名4692,042-762-1904,NA,神奈川県相模原市中央区田名4692,139.3350908,35.55135020000001
ファミリーマート田名豊原店,小売業,コンビニエンスストア,田名3991-1,090-3530-7201,NA,神奈川県相模原市中央区田名3991-1,139.3484494,35.556196
ファミリーマート田名堀之内店,小売業,コンビニエンスストア,田名4791-1,042-764-0425,NA,神奈川県相模原市中央区田名4791-1,139.3329572,35.5498741
ホンダカーズ神奈川西 田名店,小売業,"自動車(新車)の販売、車検、点検、整備、修理をして
います。
Honda正規ディーラー
その他に、電動車いす(WHILL)の販売も行っていま
す。",田名4105-1,042-762-0334,NA,神奈川県相模原市中央区田名4105-1,139.3451257,35.5551309
まつがみ衣料品店,小売業,衣料、小学校体操着、白衣等,田名4828-1,042-762-0229,NA,神奈川県相模原市中央区田名4828-1,139.3357441,35.5507732
メンズグルーミング 男髪屋,サービス業,理容業,田名4661-47,042-762-0692,NA,神奈川県相模原市中央区田名4661-47,139.3360613,35.55215430000001
（有）山中自動車商会,サービス業,ロードサービス、車検整備、鈑金塗装,田名9295-8,042-778-2525,お車のことならなんでもご相談ください！！,神奈川県相模原市中央区田名9295-8,139.3571945,35.538373
【よもぎ蒸し】小さな自宅サロン＊向日葵＊,サービス業,"選べるハーブのよもぎ蒸しリラクゼーションサロンで
す。",田名6105‐9,090-6300-6977 次回使用できるよもぎ蒸し割引券の配布,NA,神奈川県相模原市中央区田名6105‐9,139.3390763,35.5443467
（株）ライト田名店,小売業,家電の販売及び電気工事など,田名1882-13,042-760-0316,"店内の換気・消毒・マスク着用の徹底、パーテーション
や二酸化炭素濃度測定器の設置など感染防止対策
を万全にして営業しております。なお、電力逼迫対策
と致しまして、店内照明を控えて営業しております。",神奈川県相模原市中央区田名1882-13,139.3325435,35.5531588
理容ダルマ,サービス業,理容業,田名6195-1,042-761-3819,NA,神奈川県相模原市中央区田名6195-1,139.339203,35.5449957
ECCジュニア　田名塩田教室,その他,"２歳児から大人までの方を対象に英語を、小学生まで
の算数、年齢不問で漢字を教えています。",田名塩田4-10-24,042-777-3127,"お友達からのご紹介からご入学頂くと入学金50%オフ
の2,750円になります。",神奈川県相模原市中央区田名塩田4-10-24,139.35311,35.5374841
おしゃれ・サロン愛,サービス業,美容一般,田名塩田2-18-28,042-733-0058,NA,神奈川県相模原市中央区田名塩田2-18-28,139.355601,35.5343095
火焔山餃子房田名塩田店,飲食業,焼肉&中華料理を提供しているお店です。,田名塩田2-8-8,042-711-9211,"当店のLINE公式に登録して頂いた方にクーポンプレ
ゼント",神奈川県相模原市中央区田名塩田2-8-8,139.3549044,35.5359131
セブンイレブン相模原田名塩田3丁目店,小売業,コンビニエンスストア,田名塩田3-14-26,042-777-2136,NA,神奈川県相模原市中央区田名塩田3-14-26,139.355432,35.52982
美容室FLOW,サービス業,美容業　サービス業,田名塩田2-16-26シュトラーセ101,042-714-0260,NA,神奈川県相模原市中央区田名塩田2-16-26シュトラーセ101,139.3535561,35.5352583
D-LINK 中央店,その他,美容業,中央3-10-14ノーブルニッセイ1F,042-769-5055,ヘッドスパ・ヘアケアに力を入れているサロンです！,神奈川県相模原市中央区中央3-10-14ノーブルニッセイ1F,139.3703292,35.5698225
Holiday,サービス業,美容室,中央3-10-7,042-851-3304,"美容室・ボディエステ・フェイシャルが一緒になったトー
タルサロンです。",神奈川県相模原市中央区中央3-10-7,139.3709519,35.5698924
La Gabby,サービス業,マツエクサロン,中央6-12-3 山久ビル402,070-1526-3569,マツエク・HBL正規店・パリジェンヌ正規店,神奈川県相模原市中央区中央6-12-3 山久ビル402,139.3709274,35.5690797
SAHI KAHNA（シャヒカナ）,飲食業,本格インドバングラデシュレストラン,中央3-11-4,042-750-5751,NA,神奈川県相模原市中央区中央3-11-4,139.3714827,35.5695557
TOWA BAKERY,小売業,パンの販売,中央4-12-1,042-730-3580,NA,神奈川県相模原市中央区中央4-12-1,139.368145,35.5729447
江成屋金物店,小売業,雑貨・厨房・金物の小売り又は納品事業。,中央3-3-11,042-752-1525,NA,神奈川県相模原市中央区中央3-3-11,139.3697462,35.5700653
オール・イン,飲食業,"手作りの美味しいお弁当や『爆弾メンチカツ』などのお
惣菜を店頭販売しています。また、お弁当やお料理の
仕出しも行っています。
店舗の一部には立ち飲みカウンターもあります。",中央1-3-1-1F,042-815-2905,"『ウェブサイト見たよ』で、店頭販売のお弁当50円割引
します!!",神奈川県相模原市中央区中央1-3-1-1F,139.3670741,35.5743808
カフェトガシ,飲食業,"パン、ケーキも販売しておりますカフェになります。ラン
チではお得なセットメニューございます。ナポリタンな
ど生パスタやオムライス、シェフ手作りラーメンもおす
すめです",中央1-10-15,042-707-1800,"インスタなどで情報発信しておりますので、宜しくお願
い致します",神奈川県相模原市中央区中央1-10-15,139.3688272,35.5730978
県水通商まぐろ亭,飲食業,海鮮丼の専門店です。,中央2-3-16,042-707-0337,"従業員募集中です、 
お気軽にお問い合わせください。",神奈川県相模原市中央区中央2-3-16,139.3705087,35.5722616
個人大塚タクシー,サービス業,NA,中央4-7-16-3,080-6620-2501,NA,神奈川県相模原市中央区中央4-7-16-3,139.3665524,35.57249400000001
酒菜処 柊,飲食業,おばんざいとお酒を提供する小料理店,中央1-14-9,080-9802-3378,NA,神奈川県相模原市中央区中央1-14-9,139.3703209,35.57355
相模原市農業協同組合 ベジたべーなmini,小売業,旬の地元農産物が集まる直売所です,中央6-10-10,042-755-3659,NA,神奈川県相模原市中央区中央6-10-10,139.3706945,35.5676895
"相模原市立産業会館パソコン＆プログラミン
グ教室",サービス業,パソコン＆プログラミング教室です,中央3‐12‐1相模原市立産業会館地下1FOA研修室,042-704-9888,無料体験が受けられます。,神奈川県相模原市中央区中央3‐12‐1相模原市立産業会館地下1FOA研修室,139.3714629,35.5700307
事業所（店舗等）名,事業種別,事業内容,事業所所在地,電話番号,PR・オトク情報,神奈川県相模原市中央区事業所所在地,139.3754694,35.5559466
ササキパソコンスクール,サービス業,"ＷｏｒｄやＥｘｃｅｌ、インターネットの使い方など、初心者
からでも習うことができるパソコン教室です。",中央1-1-16,042-755-6066,"初心者からも通えるパソコン教室です 
初回のみのコース料金で、あとは月々4,400円の会員
制です。 
個別指導・受講期限なし・都合に合わせた予約制で、
何度でも通えます。 
期間中【初回コース料金１０％割引】",神奈川県相模原市中央区中央1-1-16,139.3669318,35.5753116
サトーメガネ相模原店,小売業,眼鏡販売,中央1-2-1,042-758-1112,"グッテイプレイス２階にて、元気に明るく営業中です！
メガネについてお気軽にお問い合わせください。",神奈川県相模原市中央区中央1-2-1,139.3666634,35.5746301
車検のコバック 相模原中央店,サービス業,"自動車の車検、整備、修理、販売を全般に行っていま
す。",中央3-10-13,042-775-0043,"相模原市最低価格保証！！
当店より安い、他店の見積もり書をお持ちくださ
い！！
車検の見積もり無料ですので、お気軽にお越しくださ
い！！",神奈川県相模原市中央区中央3-10-13,139.3704655,35.569761
写真スタジオ・フォトストーリー,サービス業,"証明写真・記念写真・ペット写真・七五三・成人式着付
け・ヘアメイク全て承っております。",中央6-13-1-1F,042-707-1006,"記念写真撮影の方店舗のInstagramかFacebookの
フォローで撮影データ1カットプレゼント！",神奈川県相模原市中央区中央6-13-1-1F,139.3717126,35.5686627
食品サンプル アトリエステラ,"小売業/サービス
業","食品サンプル教室、グッズの販売。
初心者の方、大歓迎。
要予約。",中央2-13-19末広マンション4C,090-8961-4455,"体験：醤油煎餅のキーホルダー2200円
こども講座:3300円
その他、基礎講座、1day講座等。
目的に合わせて、ご選択ください。",神奈川県相模原市中央区中央2-13-19末広マンション4C,139.3737041,35.5725328
"スクール洋品ナカムラ グッディプレイス相模
原店",小売業,学生服・体操服等スクール洋品の専門店です。,中央1-2-1グッディプレイス相模原店2F,042-751-0447,NA,神奈川県相模原市中央区中央1-2-1グッディプレイス相模原店2F,139.3666665,35.5747938
スタミナ 中央店,飲食業,焼き鳥がメインの居酒屋です。,中央6-13-4 ニチジュンビル1階,042-769-2281,NA,神奈川県相模原市中央区中央6-13-4 ニチジュンビル1階,139.3717604,35.5684517
せいたいっち,サービス業,ヘッドスパと快眠整体が得意な整体院です。,中央5-5-22,050-5438-2766 施術料金10%オフ,NA,神奈川県相模原市中央区中央5-5-22,139.3643035,35.5709705
